,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,level,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,result,retweets_count,sarcasm,sentiment,tweet_id,url,user_name
1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,-1,1,0,0,0,0,0,2,0,0,0,1,0,0,6,0,-1,1152011918686576640,0,alvpyrola
1568,0,0,0,0,0,0,0,0,0,0,7,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155510994384379904,0,jadioactive
1569,0,0,0,0,0,0,0,0,0,0,1,16,0,0,1,-1,0,-1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,1155509163075747840,1,jadioactive
1570,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1155769485837475840,0,NaughtyRoach
1571,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,33,0,0,1155745349606076416,0,NaughtyRoach
1572,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,-1,0,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1155793549671194624,0,jo_bazz
1573,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,2,0,0,1155793443689521152,0,jo_bazz
1574,0,0,1,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,42090,0,0,1155600801814859776,0,pardeedees
1575,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4345,0,0,1155599705885143040,0,pardeedees
1576,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,1,0,1,1,1,0,0,2,0,0,2,0,1,1149046899011465216,0,Em_kitching
1577,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1118442288773050368,0,Em_kitching
1578,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155802937014095872,0,nathan_tryon
