,cat1,cat10,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,favorite_count,hour,image,nadj,nadv,nemoji,nlevel,nword,orginal,padj,padv,pemoji,plevel,pnoun,punc1,punc2,punc3,pword,question,retweets_count,sarcasm,sentiment,url
1301,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,1,2,2,0,2,2,0,1,0,4,1,2815,0,2,0
1302,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,50864,0,1,0
1303,0,0,0,0,0,0,0,0,0,1,0,29,0,1,-1,1,-1,2,2,1,1,2,1,3,0,2,0,2,1,0,0,0,1
1304,0,2,2,0,0,0,0,0,0,0,0,13,1,0,0,0,0,1,2,0,1,1,1,3,0,1,0,1,1,0,0,1,1
1305,0,1,0,0,0,0,0,0,0,1,3,27,1,0,0,0,0,2,2,1,2,0,2,1,5,0,0,2,0,0,0,2,0
1306,0,0,0,0,0,1,0,0,0,0,0,6,1,3,-2,0,-2,1,0,0,0,0,0,5,0,0,0,1,0,121286,0,-2,0
1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1308,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,2,1,1,2,0,2,3,2,0,1,2,0,1,0,2,0
1309,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,2,0,62,0,1,1
1310,0,0,8,0,0,0,0,0,0,0,0,337,0,0,0,0,0,29,30,15,22,0,22,8,0,0,0,29,0,0,0,22,0
1311,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,2,0,19169,0,1,0
1312,0,0,8,0,0,0,0,0,0,0,0,337,0,0,0,0,0,29,30,15,22,0,22,8,0,0,0,29,0,0,0,22,0
1313,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,4,1,4,2,0,2,2,0,0,0,4,0,2,0,2,1
1316,0,0,0,0,0,0,0,0,0,0,0,40,0,10,-5,0,-5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,-5,0
1317,0,1,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,143011,0,1,1
1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,0,0,0,0,0,0,0,0,0,2,0,67,0,0,0,0,0,9,6,6,3,0,3,25,0,0,0,9,0,0,0,3,0
1320,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2
1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322,0,0,0,0,0,0,0,0,0,1,2,20,0,0,0,0,0,2,2,2,2,1,2,6,6,0,0,2,0,1,0,2,1
1323,0,0,0,0,0,0,0,0,0,0,1,36,0,0,-1,0,-1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,-1,2
1324,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,2,2,0,1,1,1,2,0,0,0,2,0,0,0,1,1
1327,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,8960,0,0,1
1328,0,0,0,0,0,0,0,0,0,0,1,39,1,0,0,0,0,2,1,1,1,0,1,4,1,0,0,2,0,1346,0,1,1
1329,0,0,0,0,0,0,0,0,0,0,3,24,1,0,0,0,0,1,2,0,1,0,1,1,0,0,0,1,0,0,0,1,0
